MOTIF TF Family
FOXO1_3 FOXO1 FOX
FOXO1_4 FOXO1 FOX
FOXO1_5 FOXO1 FOX
FOXO3_1 FOXO3 FOX
FOXO3_2 FOXO3 FOX
FOXO3_3 FOXO3 FOX
FOXO3_4 FOXO3 FOX
FOXO3_5 FOXO3 FOX
FOXO3_6 FOXO3 FOX
FOXO4_1 FOXO4 FOX
FOXO4_2 FOXO4 FOX
FOXO4_3 FOXO4 FOX
FOXO4_4 FOXO4 FOX
FOXO4_5 FOXO4 FOX
FOXO6_1 FOXO6 FOX
FOXO6_2 FOXO6 FOX
FOXO6_3 FOXO6 FOX
FOXP1_1 FOXP1 FOX
FOXP3_1 FOXP3 FOX
FOXP3_2 FOXP3 FOX
FOXQ1_1 FOXQ1 FOX
FOXQ1_2 FOXQ1 FOX
GABP_1 GABP GABP
GABPA_1 GABPA GABP
GABPA_2 GABPA GABP
GABPA_3 GABPA GABP
GATA_1 GATA GATA
GATA_2 GATA GATA
GATA_3 GATA GATA
GATA_disc1 GATA GATA
GATA_disc2 GATA GATA
GATA_disc3 GATA GATA
GATA_disc4 GATA GATA
GATA_disc5 GATA GATA
GATA_disc6 GATA GATA
GATA1_1 GATA1 GATA
GATA1_2 GATA1 GATA
GATA1_3 GATA1 GATA
GATA1_4 GATA1 GATA
GATA1_5 GATA1 GATA
GATA1_6 GATA1 GATA
GATA2_1 GATA2 GATA
GATA2_2 GATA2 GATA
GATA3_1 GATA3 GATA
GATA3_2 GATA3 GATA
GATA3_3 GATA3 GATA
GATA3_4 GATA3 GATA
GATA3_5 GATA3 GATA
GATA4_1 GATA4 GATA
GATA4_2 GATA4 GATA
GATA5_1 GATA5 GATA
GATA5_2 GATA5 GATA
GATA6_1 GATA6 GATA
GATA6_2 GATA6 GATA
GBX1_1 GBX1 GBX
GBX1_2 GBX1 GBX
GBX1_3 GBX1 GBX
GBX2_1 GBX2 GBX
GBX2_2 GBX2 GBX
GBX2_3 GBX2 GBX
GBX2_4 GBX2 GBX
GBX2_5 GBX2 GBX
GCM_1 GCM GCM
GCM1_1 GCM1 GCM
GCM1_2 GCM1 GCM
GCM1_3 GCM1 GCM
GCM1_4 GCM1 GCM
GCM2_1 GCM2 GCM
GFI1_1 GFI1 GFI
GFI1_2 GFI1 GFI
GFI1_3 GFI1 GFI
GFI1B_1 GFI1B GFI
GLI_1 GLI GLI
GLI2_1 GLI2 GLI
GLI2_2 GLI2 GLI
GLIS1_1 GLIS1 GLIS
GLIS2_1 GLIS2 GLIS
GLIS2_2 GLIS2 GLIS
GLIS3_1 GLIS3 GLIS
GMEB1_1 GMEB1 GMEB
GMEB2_1 GMEB2 GMEB
GMEB2_2 GMEB2 GMEB
GMEB2_3 GMEB2 GMEB
GMEB2_4 GMEB2 GMEB
GRHL1_1 GRHL1 GRHL
GRHL1_2 GRHL1 GRHL
GRHL1_3 GRHL1 GRHL
GSC_1 GSC GSC
GSC_2 GSC GSC
GSC2_1 GSC2 GSC
GSX1_1 GSX1 GSX
GSX2_1 GSX2 GSX
GSX2_2 GSX2 GSX
GTF2A_1 GTF2A GTF
GTF2I_1 GTF2I GTF
GZF1_1 GZF1 GZF
HAND1_1 HAND1 HAND
HAND1_2 HAND1 HAND
HBP1_1 HBP1 HBP
HDAC2_disc1 HDAC2 HDAC
HDAC2_disc2 HDAC2 HDAC
HDAC2_disc3 HDAC2 HDAC
HDAC2_disc4 HDAC2 HDAC
HDAC2_disc5 HDAC2 HDAC
HDAC2_disc6 HDAC2 HDAC
HDX_1 HDX HDX
HERPUD1_1 HERPUD1 HERPUD1
HES1_1 HES1 HES
HES5_1 HES5 HES
HES7_1 HES7 HES
